DUPONT,302-992-4204,302-351-8831,"Wilmington, DE 19805",Wilmington,"Chestnut Run Plaza - CRP 730 4105-4, 974 Centre Road"
ARKEMA INC,610-205-7000,610-205-7121,"King of Prussia, PA 19406",King of Prussia,900 First Avenue
EMABOND SOLUTIONS,201-767-7400,201-767-3608,"Norwood, NJ 07648",Norwood,49 Walnut St
EMS-CHEMIE (NORTH AMERICA) INC. / EMS-GRIVORY AMERICA,803-481-6171,803-481-6121,"Sumter, SC 29151",Sumter,"2060 Corporate Way, PO Box 1717"
"EAS MOLD & DIE CHANGE SYSTEMS, INC.",262-783-7955,262-783-9799,"Menomonee Falls, WI 53051",Menomonee Falls,"N50 W13740, Overview"
ENGEL MACHINERY,717-764-6818,717-764-8093,"York, PA 17406",York,3740 Board Rd
EREMA NORTH AMERICA INC.,978-356-3771,978-356-9003,"Ipswich, MA 01938",Ipswich,23 Old Right Rd
EXXONMOBIL CHEMICAL COMPANY,832-624-5365,,"Houston, TX 77079",Houston,13501 Katy Freeway
FARREL POMINI,203-736-5500,203-736-5580,"Ansonia, CT 06401",Ansonia,25 Main St
"FAST HEAT, INC.",630-359-6300,630-833-0493,"Elmhurst, IL 60126",Elmhurst,776 N Oaklawn Ave
"FGH SYSTEMS, INC.",973-625-8114,973-625-1442,"Denville, NJ 07834",Denville,10 Prospect Place
INHANCE TECHNOLOGIES,281-578-1440,,"Houston, TX 77084",Houston,16223 Park Row #100
"FOREMOST MACHINE BUILDERS, INC.",973-227-0700,973-227-7307,"Fairfield, NJ 07004",Fairfield,"23 Spielman Rd, P.O. Box 644"
"FORTUNE INTERNATIONAL, INC.",732-214-0700,732-214-0701,"Somerset, NJ 08873",Somerset,56 Veronica Ave
FORWARD TECHNOLOGY,320-286-2578,320-286-2467,"Cokato, MN 55321",Cokato,260 Jenks Ave SW
GAMMAFLUX,703-471-5050,703-689-2131,"Sterling, VA 20166",Sterling,113 Executive Drive
SABIC,413-448-7110,,"Pittsfield, MA 01201",Pittsfield,1 Plastics Ave
POLYONE CORPORATION,440-930-1000,440-930-1750,"Avon Lake, OH 44012",Avon Lake,33587 Walker Rd
GLOBAL PRECISION INDUSTRIES,262-623-3160,888-831-1360,"Menomonee Falls, WI 53051",Menomonee Falls,N93 W14665 Whittaker Way
"GNEUSS, INC.",704-841-7251,704-841-7254,"Matthews, NC 28105",Matthews,10820-G Independence Pointe Pkwy.
GOETTFERT INC.,803-324-3883,803-324-3993,"Rock Hill, SC 29730",Rock Hill,488 Lakeshore Pkwy
GLYCON CORP.,517-423-8356,517-423-7470,"Tecumseh, MI 49286",Tecumseh,912 Industrial Dr
GROS EXECUTIVE RECRUITERS,615-661-4568,615-661-4568,"Franklin, TN 37067",Franklin,"1550 W. McEwen Dr., Suite 300-32"
GUNTHER HOT RUNNER SYSTEMS INC.,630-293-4650,630-293-4650,"Hoffmann Estates, IL 60169",Hoffmann Estates,"3 Golf Center, Suite 279"
HAMILTON PLASTIC SYSTEMS LIMITED,905-890-0055,905-890-1513,,,
HANSER PUBLICATIONS,513-527-8977,513-527-8801,"Cincinnati, OH 45244",Cincinnati,6915 Valley Avenue
HASCO,877-427-2662,828-684-7960,"Fletcher, NC 28732",Fletcher,"270 Rutledge Road, Unit B"
HEISE INDUSTRIES,860-828-6538,860-828-4997,"East Berlin, CT 06023",East Berlin,196 Commerce St
"HERRMANN ULTRASONICS, INC.",630-626-1626,630-736-7514,"Bartlett, IL 60103",Bartlett,1261 Hardt Circle
HIGH-TECHNOLOGY CORP.,201-488-0010,201-488-4318,"Hackensack, NJ 07601",Hackensack,144 South St
LYONDELLBASELL INDUSTRIES,713-309-7200,,"Houston, TX 77010",Houston,"1221 McKinney Street, Suite 300"
HORIZON PLASTICS INTERNATIONAL INC,905-372-2291,905-372-9397,,,
NEXTHERMAL CORPORATION,269-964-0271,269-964-4526,"Battle Creek, MI 49037",Battle Creek,1045 Harts Lake Rd
HPM NORTH AMERICA CORPORATION,740-382-5600,740-382-2008,"Marion, OH 43302",Marion,1193 Pole Lane Road
EVONIK CORPORATION,973-929-8000,,"Parsippany, NJ 07054",Parsippany,299 Jefferson Road
HUSKY INJECTION MOLDING SYSTEMS LTD.,905-951-5000,905-951-5332,,,
ICIS,713-525-2600,,"Houston, TX 77098",Houston,3355 W Alabama Suite 700
IMS INJECTION MOLDING SUPPLIES,440-543-1615,440-543-1069,"Chagrin Falls, OH 44023",Chagrin Falls,10373 Stafford Rd
INCOE CORPORATION,248-616-0220,248-616-0227,"Troy, MI 48083",Troy,"1740 E Maple Rd, P. O. Box 485"
GEFRAN INC.,888-888-4474,781-729-1468,"Winchester, MA 01890",Winchester,8 Lowell Avenue
INDUSTRIAL HEATER CORP.,203-250-0500,203-250-0599,"Cheshire, CT 06410",Cheshire,30 Knotter Dr
"INOEX, LLC",717-672-0870,717-672-0872,"Lancaster, PA 17601",Lancaster,1861 Charter Lane
"INSUL-VEST, INC.",918-445-2279,918-445-2330,"Tulsa, OK 74132",Tulsa,6417 S 39th West Ave
IQMS,805-227-1122,805-227-1120,"Paso Robles, CA 93446",Paso Robles,2231 Wisteria Ln.
IRWIN RESEARCH & DEVELOPMENT,509-494-1400,509-248-3503,"Yakima, WA 98909",Yakima,PO Box 10668
JOMAR CORPORATION,609-646-8000,609-645-9166,"Egg Harbor Township, NJ 08234",Egg Harbor Township,115 East Parkway Drive
"JON WAI MACHINERY WORKS CO., LTD.",886-2-25954867,886-2-25932358,,,
JSW PLASTICS MACHINERY INC.,951-898-0934,951-898-0944,"Corona, CA 92879",Corona,555 S Promenade Ave Ste 104
KAMMANN USA/KBA GROUP,978-463-0050,978-463-0042,"Portsmouth, NH 03801",Portsmouth,235 Heritage Ave. #2
KASE EQUIPMENT CORPORATION,216-642-9040,216-986-0678,"Valley View, OH 44125",Valley View,7400 Hub Pkwy.
"KENRICH PETROCHEMICALS, INC.",201-823-9000,201-823-0691,"Bayonne, NJ 07002",Bayonne,"PO Box 32, 140 East 22nd Street"
"KICE INDUSTRIES, INC.",316-744-7151,316-744-7355,"Wichita, KS 67219",Wichita,5500 Mill Heights Dr
KISTLER INSTRUMENT CORPORATION,248-668-6900,248-669-5733,"Novi, MI 48377",Novi,30280 Hudson Drive
"DESMA USA, INC",859-525-6610,,"Hebron, KY 41048",Hebron,2195 Arbor Tech Drive
SYNVENTIVE MOLDING SOLUTIONS,978-750-8065,978-646-3600,"Peabody, MA 01960",Peabody,10 Centennial Dr
KONGSKILDE,309-820-1090,309-820-1364,"Hudson, IL 61748",Hudson,19500 N 1425 E. Road
KOSMEK LTD.,630-241-3465,630-241-3834,"Downers Grove, IL 60515",Downers Grove,1441 Branding Avenue Ste 110
KRAUSS-MAFFEI CORPORATION (KRAUSSMAFFEI GROUP),859-283-0200,859-283-0290,"Florence, KY 41042",Florence,7095 Industrial Road
"KAUTEX MACHINES, INC.",908-253-6000,908-253-9565,"Branchburg, NJ 08876",Branchburg,201 Chambers Brook Rd
"KURZ TRANSFER PRODUCTS, LP",704-927-3700,704-927-3701,"Charlotte, NC 28206",Charlotte,3200 Woodpark Blvd
"LAROS EQUIPMENT COMPANY, INC.",269-323-1441,269-323-0456,"Portage, MI 49024",Portage,8278 Shaver Rd
BETA LASERMIKE,937-233-9935,937-233-7284,"Dayton, OH 45424",Dayton,8001 Technology Blvd
LECTRO ENGINEERING CO.,314-567-3100,314-567-3466,"Saint Louis, MO 63132",Saint Louis,1643 Lotsie Blvd.
LORD CORPORATION,1.877.,,"Cary, NC 27511",Cary,111 Lord Dr
"L-R SYSTEMS, INC.",815-372-1600,815-372-1601,"Romeoville, IL 60446",Romeoville,624 Anderson Drive
"LUNG-MENG MACHINERY (USA), INC.",305-591-3388,305-591-9356,"Doral, FL 33172",Doral,10438 NW 31th Terrace
LYLE INDUSTRIES LLC,989-435-7717,,"Beaverton, MI 48612",Beaverton,4144 W. Lyle Rd.
MAAC MACHINERY CORPORATION,630-665-1700,630-665-7799,"Carol Stream, IL 60188",Carol Stream,590 Tower Blvd
MACRO ENGINEERING & TECHNOLOGY INC.,905-507-9000,905-507-3000,,,
"PARKINSON TECHNOLOGIES, INC.",401-762-2100,401-762-2295,"Woonsocket, RI 02895",Woonsocket,100 Goldstein Drive
"MARUKA U.S.A., / TOYO / FCS",973-487-3800,973-244-2147,"Pine Brook, NJ 07058",Pine Brook,45 Rt. 46 E. Suite 610
"MATSUI AMERICA, INCORPORATED",847-290-9680,630-980-2269,"Hanover Park, IL 60133",Hanover Park,5825 Turnberry Drive
EPICOR SOFTWARE CORPORATION,800-999-1809,925-361-9999,"Austin, TX 78746",Austin,804 Las Cimas Parkway
"MAXI-BLAST, INC.",574-233-1161,574-234-0792,"South Bend, IN 46628",South Bend,3650 North Olive Road
MITSUBISHI - MHIA INJECTION MOLDING MACHINERY DIVISION,630-350-0516,630-350-9122,"Itasca, IL 60143",Itasca,1051 Ardmore Avenue
"M.C. MOLDS, INC. / JBJ PRODUCTS & MACHINERY",517-655-5481,517-655-4826,"Williamston, MI 48895",Williamston,125 Industrial Park Drive
MIGRANDY CORPORATION,321-459-0044,321-459-2641,"Merritt Island, FL 32952",Merritt Island,675 Cypress Dr
LANXESS CORPORATION,412-809-1000,,"Pittsburgh, PA 15275",Pittsburgh,111 RIDC Park West Drive
MILLIKEN & COMPANY,864-503-1197,,"Spartanburg, SC 29303",Spartanburg,920 Milliken Road
MINCO TOOL & MOLD INC.,937-890-7905,937-890-0543,"Dayton, OH 45414",Dayton,5690 Webster St
KONICA MINOLTA SENSING AMERICAS,888-473-2656,,"Ramsey, NJ 07446",Ramsey,101 Williams Drive
MOKON,716-876-9951,716-874-8048,"Buffalo, NY 14207",Buffalo,2150 Elmwood Avenue
"MOLD BASE INDUSTRIES, INC.",800-241-6656,717-564-7705,"Harrisburg, PA 17111",Harrisburg,7450 Derry Street
AUTODESK,415-507-5000,,"San Francisco, CA 94105",San Francisco,"One Market Street, Suite 500"
"MAC AUTOMATION CONCEPTS / MOLDING AUTOMATION CONCEPTS, INC.",815-337-3000,815-337-3020,"Woodstock, IL 60098",Woodstock,1760 Kilkenny Ct.
MOTAN INC.,269-685-1650,269-685-1059,"Plainwell, MI 49080",Plainwell,320 N Acorn St
MSI MOLD BUILDERS,319-848-7001,319-848-7004,"Cedar Rapids, IA 52404",Cedar Rapids,12300 6th St SW
MULTITHERM LLC,610-408-8361,610-408-8365,"Malvern, PA 19355",Malvern,11 General Warren Blvd.
NATIONAL TOOL & MANUFACTURING CO. (NTM),847-806-9800,847-806-9827,"Wheeling, IL 60090",Wheeling,581 Wheeling Rd.
"NATIONAL BULK EQUIPMENT, INC.",616-399-2220,616-399-7365,"Holland, MI 49424",Holland,12838 Stainless Drive
NDC TECHNOLOGIES,626-960-3300,626-939-3870,"Irwindale, CA 91706",Irwindale,5314 North Irwindale Ave
"NEW PACIFIC MACHINERY, INC.",731-855-3941,731-855-2140,"Trenton, TN 38382",Trenton,"1264 Hwy 45 By-Pass, PO Box 467"
NIIGATA ALL-ELECTRIC MOLDING MACHINES,800-843-1872,630-361-6060,"Wood Dale, IL 60191",Wood Dale,939 AEC Drive
"NISSEI AMERICA, INC.",714-693-3000,714-693-7787,"Anaheim, CA 92807",Anaheim,1480 N Hancock St
"NOVATEC, INC.",410-789-4811,410-789-4638,"Baltimore, MD 21225",Baltimore,222 Thomas Ave
NOVA TOOL & MOLD INC.,519-737-7137,519-737-7111,,,
OMEGA HEATER COMPANY,631-588-8820,631-588-8953,"Ronkonkoma, NY 11779",Ronkonkoma,2059 Ninth Ave
"OMEGA TOOL, INC.",262-255-0205,262-255-3964,"Menomonee Falls, WI 53051",Menomonee Falls,N93 W14430 Whittaker Way
"OMYA, INC.",800-749-6692,513-387-4693,"Cincinnati, OH 45242",Cincinnati,"9987 Carver Rd., Suite 300"
OSCO INCORPORATED,800.499.,248-852-1645,"Rochester Hills, MI 48309",Rochester Hills,2937 Waterview Dr
MGS MFG. GROUP,262-255-5790,262-255-7206,"Germantown, WI 53022",Germantown,W188 N11707 Maple Road
OWENS CORNING,864-433-6740,864-433-6710,"Duncan, SC 29334",Duncan,196 Ridgeview Center
ENGINEERED PRINTING SOLUTIONS,802-362-0844,802-362-6323,"East Dorset, VT 05253",East Dorset,201 Tennis Way
"PALLMANN INDUSTRIES, INC.",973-471-1450,973-471-7152,"Clifton, NJ 07012",Clifton,820 Bloomfield Ave
PARATHERM,610-941-4900,610-941-9191,"West Conshohocken, PA 19428",West Conshohocken,31 Portland Rd
PAULSON TRAINING PROGRAMS INC.,860-526-3099,860-526-3454,"Chester, CT 06412",Chester,3 Inspiration Lane
CST STORAGE,815-756-1551,,"Dekalb, IL 60115",Dekalb,345 Harvestore Drive
PELLETRON CORPORATION,717-293-4008,717-293-4011,"Lancaster, PA 17601",Lancaster,1866 Colonial Village Ln.
"PELLETIZER KNIVES, INC.",281-859-4492,281-859-4493,"Houston, TX 77095",Houston,9703 Telge Road
PENN COLOR INC.,215-345-6550,215-345-0270,"Doylestown, PA 18901",Doylestown,400 Old Dublin Pike
THE PENNSYLVANIA STATE UNIVERSITY / PENN STATE ERIE,814-898-7584,814-898-6053,"Erie, PA 16563",Erie,4823 Jordan Road
PERKINELMER,800-762-4000,,"Shelton, CT 06484",Shelton,710 Bridgeport Avenue
SANTA FE MACHINE WORKS INC.,909-350-6877,909-350-6873,"Fontana, CA 92335",Fontana,14578 Rancho Vista Drive
INTERTEK,413-499-0983,413-499-2339,"Pittsfield, MA 01201",Pittsfield,50 Pearl St
"MOLDMAKING TECHNOLOGY, A GARDNER BUSINESS MEDIA BRAND",513-527-8800,513-527-8801,"Cincinnati, OH 45244",Cincinnati,6915 Valley Ave
"PLASTORE, INC.",330-653-3047,330-653-3052,"Hudson, OH 44236",Hudson,1570 Georgetown Rd
PLASTICS NEWS,313-446-6000,313-446-6384,"Detroit, MI 48207",Detroit,1155 Gratiot Avenue
"POLYCEL STRUCTURAL FOAM, INC.",908-722-5254,908-722-7457,"Somerville, NJ 08876",Somerville,68 County Line Road
HOSOKAWA POLYMER SYSTEMS,860-828-0541,860-829-1313,"Berlin, CT 06037",Berlin,63 Fuller Way
POLYTYPE AMERICA CORP.,201-995-1000,201-962-9569,"Mahwah, NJ 07430",Mahwah,10 Industrial Ave
"PPG INDUSTRIES, INC.",412-820-8748,,"Cheswick, PA 15024",Cheswick,400 Guys Run Rd.
PRESTIGE MOLD INCORPORATED,909-980-6600,909-944-3199,"Rancho Cucamonga, CA 91730",Rancho Cucamonga,11040 Tacoma Dr
"PROCESS COOLING SYSTEMS, INC.",978-537-1996,978-537-4587,"Leominster, MA 01453",Leominster,213 Nashua St
PROCESS CONTROL CORPORATION,770-449-8810,770-449-5445,"Atlanta, GA 30340",Atlanta,6875 Mimms Dr
CLOEREN INCORPORATED,409-883-0943,,"Orange, TX 77630",Orange,401 16th Street
"PROCESSING TECHNOLOGIES INTERNATIONAL, LLC",630-585-5800,630-585-5855,"Aurora, IL 60502",Aurora,2655 White Oak Circle
Q-LAB CORPORATION,440-835-8700,440-835-8738,"Westlake, OH 44145",Westlake,800 Canterbury Rd
"RANDCASTLE EXTRUSION SYSTEMS, INC.",973-239-1150,973-239-0830,"Cedar Grove, NJ 07009",Cedar Grove,220 Little Falls Road Unit 6
"RANGER AUTOMATION SYSTEMS, INC.",508-842-6500,508-842-5941,"Shrewsbury, MA 01545",Shrewsbury,820 Boston Tpke.
"RAPID GRANULATOR, INC.",724-584-5220,724-584-5230,"Cranberry Twp, PA 16066",Cranberry Twp,200 W. Kensinger Dr Suite 100
"RDN MANUFACTURING CO., INC.",630-893-4500,630-893-5010,"Bloomingdale, IL 60108",Bloomingdale,160 Covington Dr
CLARIANT,704-331-7000,704-331-7112,"Charlotte, NC 28205",Charlotte,4000 Monroe Rd
REEDY CHEMICAL FOAM & SPECIALTY ADDITIVES,980-819-6930,888-291-7290,"Charlotte, NC 28273",Charlotte,"9301 Forsyth Park Drive, Suite A"
REIFENHAUSER INCORPORATED,316-260-2122,,"Wichita, KS 67209",Wichita,1735 S Maize Rd
BOSCH REXROTH CORPORATION,847-654-3600,847-645-6201,"Hoffman Estates, IL 60192",Hoffman Estates,5150 Prairie Stone Pkwy
"RJG, INC.",231-947-3111,231-947-6403,"Traverse City, MI 49686",Traverse City,3111 Park Drive
"ROBERT BARR, INC.",757-428-4032,757-428-2917,"Onsted, MI 49265",Onsted,7421 M-50
"JACKSON MACHINERY, INC.",262-284-1066,262-284-5466,"Port Washington, WI 53074",Port Washington,3830 Hwy. H
ROLLEPAAL INC.,410-760-2447,410-760-2140,"Tampa, FL 33624",Tampa,4522 West Village Drive
JOHNS MANVILLE,303-978-4919,,"Denver, CO 80202",Denver,"717 17th Street, Suite 700"
A. SCHULMAN,330-666-3751,330-665-1380,"Fairlawn, OH 44333",Fairlawn,3637 Ridgewood Rd.
SENCORPWHITE,508-771-9400,508-790-0002,"Hyannis, MA 02601",Hyannis,400 Kidds Hill Road
SFR INDUSTRIES,715-289-4440,715-289-4446,"Cadott, WI 54727",Cadott,652 Tower Drive
THE SHEPHERD COLOR COMPANY,513-874-0714,513-874-5061,"Cincinnati, OH 45246",Cincinnati,4539 Dues Dr
"SIEMENS INDUSTRY, INC",770-751-2447,678-566-1071,"Alpharetta, GA 30005",Alpharetta,3333 Old Milton Parkway
PET ALL MANUFACTURING INC. / GID,905-305-1797,905-305-0013,,,
SOCIETY OF PLASTICS ENGINEERS (SPE),203-775-0471,203-775-8490,"Bethel, CT 06801",Bethel,"6 Berkshire Blvd, Suite 306"
SOREMA DIVISION OF PREVIERO N.SRL,+39-031-63491250,+39-031-63491217,,,
CANADIAN PLASTICS INDUSTRY ASSOCIATION (CPIA),905-678-7748,905-678-0774,,,
STAR AUTOMATION,262-253-3550,262-253-3559,"Menomonee Falls, WI 53051",Menomonee Falls,N90 W14401 Commerce Dr.
STARMOULD BY STARPLAST GROUP,+972 4 652-9777,+972 4 852-9987,,,
